84,,ничто,ничто',,71,0,https://openrussian.org/audio-shtooka/ничто.mp3,,,,pronoun,A2,2020-01-01 00:00:00
85,,потом,пото'м,,72,0,https://openrussian.org/audio-shtooka/потом.mp3,,,,other,A1,2020-01-01 00:00:00
87,,очень,о'чень,,73,0,https://openrussian.org/audio-shtooka/очень.mp3,,,,adverb,A1,2020-01-01 00:00:00
88,,ли,ли,,74,0,https://openrussian.org/audio-shtooka/ли.mp3,"Ли always goes after the question/interrogative word.  например: <<Я спросил отца, всю ли газету он прочитал>> I asked father whether he read the whole paper.\nFor more info refer to topics titled Indirect Speech",,,other,B1,2020-01-01 00:00:00
89,,при,при,,75,0,https://openrussian.org/audio-shtooka/при.mp3,"+ prepositional case\nпри усло́вии:  on the condition/ provided that",при всём уваже́нии = Bei allem Respekt,,other,B1,2020-01-01 00:00:00
90,,хотеть,хоте'ть,,76,0,https://openrussian.org/audio-shtooka/хотеть.mp3,хоте́л бы: I would like to,что? чего?,,verb,A1,2020-01-01 00:00:00
91,,надо,на'до,,77,0,https://openrussian.org/audio-shtooka/надо.mp3,не надо: don't,,,other,A2,2020-01-01 00:00:00
92,,голова,голова',,78,0,https://openrussian.org/audio-shtooka/голова.mp3,,,,noun,A2,2020-01-01 00:00:00
93,,без,без,,79,0,https://openrussian.org/audio-shtooka/без.mp3,,чего? кого?,,other,A1,2020-01-01 00:00:00
94,,видеть,ви'деть,,80,0,https://openrussian.org/audio-shtooka/видеть.mp3,"~ что? во чём?\nЕх: многие учёные видят в повышении температуры планеты угрозы человечества.\n      Many scientists see the rising temperature of the planet as a threat to humanity.","кого? что?\nне ви́деть кого? чего? (не видел дорожного знака)",,verb,A2,2020-01-01 00:00:00
95,,теперь,тепе'рь,,81,0,https://openrussian.org/audio-shtooka/теперь.mp3,,"Eher Kontrast im Vergleich zu сейча́с\n""früher was das so und so aber JETZT...""",,other,A2,2020-01-01 00:00:00
96,,идти,идти',,82,0,https://openrussian.org/audio-shtooka/идти.mp3,"(1) unidirectional verbs of motion\n(2) Travel by foot, especially in the past tense.\n(3) Note: used with trains  'Поезд идет': 'The train is travelling along'\n(4) Note: can used to replace Ехать: 'Машина идет/ едет по дороге': 'The car is driving\nalong the road'",,,verb,A2,2020-01-01 00:00:00
97,,друг,друг,,83,0,https://openrussian.org/audio-shtooka/друг.mp3,"друг с другом: with one another\nдруг к другу: to each other",,,noun,A2,2020-01-01 00:00:00
98,,сейчас,сейча'с,,84,0,https://openrussian.org/audio-shtooka/сейчас.mp3,,,,adverb,A2,2020-01-01 00:00:00
99,,стоять,стоя'ть,,85,0,https://openrussian.org/audio-shtooka/стоять.mp3,,,,verb,B1,2020-01-01 00:00:00
100,,дом,дом,,86,0,https://openrussian.org/audio-shtooka/дом.mp3,,,,noun,A1,2020-01-01 00:00:00
101,,тоже,то'же,,87,0,https://openrussian.org/audio-shtooka/тоже.mp3,в тоже время: at the same time,,,other,A1,2020-01-01 00:00:00
102,,после,по'сле,,88,0,https://openrussian.org/audio-shtooka/после.mp3,"+ genitive case\nпосле того как: after",чего?,,other,A2,2020-01-01 00:00:00
103,,можно,мо'жно,,89,0,https://openrussian.org/audio-shtooka/можно.mp3,"можно  + any verb => add be to the meaning. Ex: можно достичь: can be achieved\nвсе чаще можно:   it is increasingly possible",,,adverb,A1,2020-01-01 00:00:00
104,,слово,сло'во,,90,0,https://openrussian.org/audio-shtooka/слово.mp3,"по словам:  According to + genitive\nК слову: by the way",,,noun,A2,2020-01-01 00:00:00
105,,через,че'рез,,91,0,https://openrussian.org/audio-shtooka/через.mp3,"This can also be written as ""чрез""\n+ accusative",что?,,other,B1,2020-01-01 00:00:00
106,,место,ме'сто,,92,0,https://openrussian.org/audio-shtooka/место.mp3,,,,noun,A2,2020-01-01 00:00:00
107,,думать,ду'мать,,93,0,https://openrussian.org/audio-shtooka/думать.mp3,,,,verb,A2,2020-01-01 00:00:00
